File,Original Size,Gzip Size,Ratio
marcus_translations/T02n0099.json.tsv,3476,930,3.74
marcus_translations/T01n0001.json.tsv,4353,1455,2.99
marcus_translations/T24n1492.json.tsv,5920,2310,2.56
marcus_translations/T17n0842.json.tsv,5585,2284,2.45
marcus_translations/T20n1060.json.tsv,27096,11124,2.44
marcus_translations/all_files.tsv,171083,71622,2.39
marcus_translations/T09n0273.json.tsv,4051,1712,2.37
marcus_translations/T14n0515 Ru lai shi jiao sheng jun wang jing 如來示教勝軍王經_chn.txt.json.tsv,8155,3657,2.23
marcus_translations/T30n1568.json.tsv,3903,1759,2.22
marcus_translations/T13n0417.json.tsv,6483,2965,2.19
marcus_translations/T20n1136.json.tsv,4556,2099,2.17
marcus_translations/T31n1614.json.tsv,1959,904,2.17
marcus_translations/T19n0959.json.tsv,7628,3553,2.15
marcus_translations/T12n0374.json.tsv,4937,2306,2.14
marcus_translations/T11n0316.json.tsv,3635,1709,2.13
marcus_translations/T21n1277.json.tsv,6323,2977,2.12
marcus_translations/T32n1666.json.tsv,2969,1404,2.11
marcus_translations/T14n0450.json.tsv,8108,3934,2.06
marcus_translations/T19n1022B.json.tsv,11885,5779,2.06
marcus_translations/T20n1077.json.tsv,4333,2179,1.99
marcus_translations/T47n1961.json.tsv,3621,1826,1.98
marcus_translations/T02n0142.json.tsv,5285,2687,1.97
marcus_translations/T45n1857.json.tsv,4278,2177,1.97
marcus_translations/T21n1261.json.tsv,4147,2112,1.96
marcus_translations/T04n0198.json.tsv,2392,1247,1.92
marcus_translations/T21n1394.json.tsv,4761,2517,1.89
marcus_translations/T37n1762.json.tsv,2896,1537,1.88
marcus_translations/T45n1909.json.tsv,3081,1679,1.84
marcus_translations/T42n1826.json.tsv,2907,1609,1.81
marcus_translations/T17n0749 Yinyuan seng hu jing 因緣僧護經_chn.txt.json.tsv,2491,1387,1.80
marcus_translations/T34n1725.json.tsv,2099,1282,1.64
marcus_translations/T21n1305.json.tsv,1933,1198,1.61
marcus_translations/T48n2004.json.tsv,1982,1234,1.61
marcus_translations/T20n1166.json.tsv,1815,1136,1.60
marcus_translations/T08n0246.json.tsv,1358,859,1.58
marcus_translations/T31n1610.json.tsv,358,236,1.52
marcus_translations/T32n1660.json.tsv,429,302,1.42
